Seconds,Minutes,PSI 1,PSI 2
,,,
0,0,183,0
1,0.02,191,5
2,0.03,206,17
3,0.05,226,32
4,0.07,229,47
5,0.08,234,54
6,0.1,228,56
7,0.12,228,57
8,0.13,231,57
9,0.15,231,57
10,0.17,235,57
11,0.18,236,57
12,0.2,230,58
13,0.22,225,58
14,0.23,231,57
15,0.25,233,54
16,0.27,232,57
17,0.28,228,58
18,0.3,233,58
19,0.32,233,59
20,0.33,234,59
21,0.35,238,58
22,0.37,235,59
23,0.38,232,60
24,0.4,226,60
25,0.42,223,60
26,0.43,230,61
27,0.45,239,62
28,0.47,247,62
29,0.48,244,62
30,0.5,243,64
31,0.52,244,64
32,0.53,239,65
33,0.55,238,66
34,0.57,241,67
35,0.58,242,67
36,0.6,242,68
37,0.62,238,69
38,0.63,243,70
39,0.65,242,70
40,0.67,249,70
41,0.68,245,71
42,0.7,246,72
43,0.72,245,71
44,0.73,245,71
45,0.75,245,71
46,0.77,248,71
47,0.78,248,72
48,0.8,248,73
49,0.82,245,72
50,0.83,248,73
51,0.85,249,73
52,0.87,246,74
53,0.88,247,74
54,0.9,246,73
55,0.92,247,73
56,0.93,248,74
57,0.95,249,74
58,0.97,249,75
59,0.98,249,75
60,1,249,74
61,1.02,249,74
62,1.03,248,74
63,1.05,249,75
64,1.07,249,75
65,1.08,248,75
66,1.1,248,76
67,1.12,248,75
68,1.13,249,76
69,1.15,249,76
70,1.17,249,76
71,1.18,251,76
72,1.2,249,74
73,1.22,252,75
74,1.23,249,75
75,1.25,252,76
76,1.27,247,75
77,1.28,249,75
78,1.3,250,76
79,1.32,252,76
80,1.33,247,76
81,1.35,249,76
82,1.37,251,77
83,1.38,250,77
84,1.4,252,76
85,1.42,252,77
86,1.43,253,77
87,1.45,259,77
88,1.47,257,77
89,1.48,257,78
90,1.5,243,77
91,1.52,250,77
92,1.53,250,78
93,1.55,245,78
94,1.57,250,78
95,1.58,253,78
96,1.6,255,78
97,1.62,253,78
98,1.63,246,79
99,1.65,247,79
100,1.67,243,78
101,1.68,242,79
102,1.7,246,79
103,1.72,253,80
104,1.73,247,80
105,1.75,248,81
106,1.77,253,80
107,1.78,254,81
108,1.8,246,81
109,1.82,245,81
110,1.83,242,82
111,1.85,247,82
112,1.87,252,82
113,1.88,255,82
114,1.9,254,82
115,1.92,255,83
116,1.93,254,83
117,1.95,253,83
118,1.97,253,84
119,1.98,255,85
120,2,252,84
121,2.02,261,85
122,2.03,271,85
123,2.05,270,85
124,2.07,271,86
125,2.08,265,86
126,2.1,262,87
127,2.12,264,86
128,2.13,262,87
129,2.15,264,86
130,2.17,266,88
131,2.18,265,88
132,2.2,260,87
133,2.22,256,88
134,2.23,256,89
135,2.25,260,89
136,2.27,262,89
137,2.28,257,88
138,2.3,258,89
139,2.32,254,89
140,2.33,260,90
141,2.35,256,90
142,2.37,266,91
143,2.38,264,91
144,2.4,261,91
145,2.42,270,92
146,2.43,270,93
147,2.45,269,93
148,2.47,269,94
149,2.48,270,95
150,2.5,268,95
151,2.52,268,96
152,2.53,271,96
153,2.55,268,96
154,2.57,268,96
155,2.58,268,96
156,2.6,272,96
157,2.62,266,96
158,2.63,267,97
159,2.65,271,96
160,2.67,271,97
